objid,plate,mjd,fiberid,z,zErr,veldisp,veldispErr,sigmaStars,sigmaStarsErr,h_alpha_eqw,bestobjid
1237651822174470427,586,52023,34,0.06435771,1.579938E-05,165.9319,6.680468,198.9277,5.64119,-0.6269219,1237651822174470427
1237654879128584347,586,52023,85,0.0294921,9.207849E-06,182.14,3.987967,191.5202,3.64288,-9.830911,1237654879128584347
1237654880202326206,586,52023,598,0.02802885,8.126085E-06,160.3917,3.050319,163.2403,2.843172,-0.8394186,1237654880202326206
1237654879665848563,587,52026,229,0.08384067,1.334508E-05,235.5843,5.269433,234.7439,4.806479,-1.241793,1237654879665848563
1237654880740180205,588,52045,350,0.02750254,1.253156E-05,82.78325,4.54358,88.21893,4.048191,-1.224374,1237654880740180205
1237654880205209754,589,52055,118,0.0916639,2.433646E-05,217.9075,11.19689,246.9512,9.428156,-0.9982948,1237654880205209754
1237651821639827659,589,52055,209,0.09463786,1.765569E-05,145.7708,7.690774,141.638,6.489148,-1.025816,1237651821639827659
1237655470209237167,590,52057,83,0.07435879,1.676924E-05,157.6813,6.520274,174.7342,5.7789,-0.6966749,1237655470209237167
1237651823252209962,591,52022,488,0.04515604,1.159117E-05,134.0884,5.031446,128.9484,4.481831,-1.541883,1237651823252209962
1237662266464272798,591,52022,547,0.04713256,1.355553E-05,145.3122,5.446416,143.3896,4.646847,-0.3966636,1237662266464272798
1237655742410522871,591,52022,609,0.04644068,1.980063E-05,91.97585,8.842107,93.70321,7.923977,-3.873273,1237655742410522871
1237655742411178182,592,52025,487,0.08552177,2.562948E-05,167.9184,10.22056,173.3655,8.596774,-0.9350242,1237655742411178182
1237651823252865222,592,52025,503,0.07641558,1.177713E-05,115.4132,8.450835,98.6443,7.058125,-7.254199,1237651823252865222
1237654879671353606,593,52026,174,0.05405555,8.630323E-06,71.60288,11.80812,69.94434,10.58253,-17.64734,1237654879671353606
1237651822181155046,594,52045,211,0.04783631,1.295017E-05,189.9755,5.713183,186.981,4.837691,-0.3853706,1237651822181155046
1237655470212579529,594,52045,316,0.07663788,2.261925E-05,123.6277,7.630476,118.3538,7.181487,-0.488682,1237655470212579529
1237651737930498075,595,52023,128,0.08059496,2.558097E-05,155.4142,8.82008,162.1137,8.745786,-0.6662761,1237651737930498075
1237651737930432842,595,52023,184,0.07977348,2.326768E-05,159.2341,8.423299,154.3439,7.892347,-0.9137818,1237651737930432842
1237655742415241526,595,52023,598,0.0887361,1.73647E-05,192.2864,7.476921,202.3265,6.367296,-1.317588,1237655742415241526
1237654875358363797,597,52059,104,0.09677919,8.462106E-06,119.5507,13.3998,118.2685,12.04946,-22.16825,1237654875358363797
1237654399153996029,597,52059,152,0.0968302,2.162967E-05,207.5016,7.96471,216.6447,7.345133,-0.4150098,1237654399153996029
1237651066814136558,597,52059,490,0.06317962,9.122015E-06,131.7346,3.565068,137.1944,3.233026,-2.467529,1237651066814136558
1237654398618239143,598,52316,114,0.08230766,1.716918E-05,168.3524,7.108058,177.5107,6.090983,-0.6017946,1237654398618239143
1237651066277789829,598,52316,266,0.0626579,1.713836E-05,149.1398,8.169834,144.0453,7.49471,-3.608387,1237651066277789829
1237654399691456654,598,52316,394,0.07583464,1.734381E-05,124.0503,7.703333,132.0593,7.576383,-3.496649,1237654399691456654
1237654399691849782,598,52316,520,0.07833307,2.165362E-05,168.9346,10.33905,201.7469,8.289228,-0.2216869,1237654399691849782
1237654875361050711,600,52317,110,0.09978633,1.585362E-05,203.2272,6.191525,206.0439,5.622069,-0.2516696,1237654875361050711
1237654876435382379,601,52316,480,0.09064236,2.245389E-05,230.4068,9.271196,234.1133,7.990744,-0.6501532,1237654876435382379
1237654399697223793,604,52079,512,0.07602377,2.968319E-05,138.3088,11.71933,135.8968,11.08379,-1.233648,1237654399697223793
1237654399161139329,605,52353,160,0.07497371,1.845625E-05,198.8023,7.701124,194.0414,6.483797,-0.4618222,1237654399161139329
1237654399160942741,605,52353,220,0.09728815,1.339201E-05,179.3137,9.694166,176.7001,8.854347,-19.33483,1237654399160942741
1237651249892884557,605,52353,288,0.07467026,2.477784E-05,203.116,11.26077,196.2534,9.740789,-1.80701,1237651249892884557
1237661817634029745,1694,53472,629,0.08465241,2.01895E-05,212.3533,7.806341,219.1335,6.954642,-0.4997849,1237661817634029745
1237661817097945332,1695,53473,520,0.08488809,1.4283E-05,201.9533,6.029927,215.5971,5.35384,-0.3144967,1237661817097945332
1237661816562122855,1696,53116,160,0.08404178,2.696554E-05,148.4027,10.17176,157.3988,8.799412,-0.5216528,1237661816562122855
1237661949185753187,1696,53116,180,0.07834415,2.057198E-05,262.2463,9.052415,293.7675,9.302072,-0.4721507,1237661949185753187
1237661949722558620,1696,53116,471,0.08546302,2.27924E-05,188.1514,9.685592,204.0974,8.07838,-0.1043218,1237661949722558620
1237661948649537740,1697,53142,253,0.0309089,1.266132E-05,117.8136,5.415908,119.8047,4.471173,-1.053929,1237661948649537740
1237661818173653133,1697,53142,566,0.0708743,2.075285E-05,151.1348,8.086146,163.2217,7.422158,-0.4898039,1237661818173653133
1237671991336763616,1698,53146,99,0.07478512,2.440487E-05,152.5103,10.11433,151.5015,8.654672,-0.2665302,1237671991336763616